iter	Passed	Remaining
0	106	106022
1	107	53425
2	107	35882
3	108	27104
4	109	21806
5	110	18267
6	110	15736
7	111	13837
8	112	12357
9	112	11175
10	113	10224
11	114	9427
12	115	8744
13	115	8158
14	116	7649
15	117	7204
16	117	6812
17	118	6462
18	119	6148
19	119	5879
20	120	5630
21	121	5402
22	122	5189
23	122	4994
24	123	4815
25	124	4650
26	124	4496
27	125	4353
28	126	4226
29	126	4103
30	127	3987
31	128	3879
32	128	3777
33	129	3681
34	130	3590
35	130	3504
36	131	3424
37	132	3350
38	133	3277
39	133	3207
40	134	3144
41	135	3082
42	135	3022
43	136	2964
44	137	2908
45	137	2856
46	138	2808
47	139	2760
48	139	2714
49	140	2669
50	141	2628
51	142	2588
52	142	2549
53	143	2511
54	144	2478
55	144	2443
56	145	2409
57	146	2376
58	146	2344
59	147	2312
60	148	2283
61	149	2255
62	149	2226
63	150	2203
64	151	2176
65	151	2150
66	152	2125
67	152	2096
68	153	2073
69	154	2049
70	154	2027
71	155	2005
72	156	1984
73	157	1964
74	157	1944
75	158	1924
76	158	1905
77	159	1886
78	160	1868
79	160	1850
80	161	1832
81	162	1815
82	163	1802
83	163	1786
84	164	1768
85	164	1753
86	165	1736
87	166	1721
88	166	1706
89	167	1692
90	168	1678
91	168	1666
92	169	1656
93	170	1643
94	171	1630
95	171	1618
96	172	1605
97	173	1592
98	173	1581
99	174	1569
100	175	1558
101	175	1546
102	176	1535
103	177	1525
104	177	1515
105	178	1505
106	179	1494
107	179	1484
108	180	1474
109	181	1464
110	181	1457
111	182	1449
112	183	1439
113	184	1430
114	184	1422
115	185	1413
116	186	1404
117	186	1395
118	187	1386
119	188	1380
120	188	1372
121	189	1364
122	189	1354
123	190	1346
124	191	1339
125	192	1333
126	193	1326
127	193	1318
128	194	1313
129	195	1307
130	195	1300
131	196	1293
132	197	1286
133	197	1279
134	198	1273
135	199	1267
136	200	1261
137	200	1255
138	201	1249
139	202	1242
140	203	1236
141	203	1230
142	204	1224
143	204	1218
144	205	1212
145	206	1208
146	207	1203
147	208	1198
148	208	1192
149	209	1186
150	210	1181
151	210	1175
152	211	1170
153	212	1165
154	212	1160
155	213	1156
156	214	1151
157	215	1146
158	215	1141
159	216	1136
160	217	1131
161	217	1126
162	218	1121
163	219	1117
164	220	1113
165	220	1109
166	221	1105
167	222	1101
168	222	1096
169	223	1092
170	224	1087
171	225	1083
172	225	1080
173	226	1075
174	227	1071
175	228	1068
176	228	1064
177	229	1060
178	230	1056
179	230	1052
180	231	1047
181	232	1043
182	232	1039
183	233	1035
184	234	1031
185	234	1027
186	235	1024
187	236	1020
188	236	1016
189	237	1013
190	238	1010
191	239	1006
192	239	1002
193	240	998
194	241	995
195	241	991
196	242	988
197	243	985
198	244	982
199	244	979
200	245	975
201	246	972
202	246	968
203	247	965
204	248	962
205	248	958
206	249	955
207	250	953
208	251	951
209	252	948
210	252	945
211	253	942
212	254	939
213	254	935
214	255	932
215	256	929
216	256	927
217	257	924
218	258	921
219	258	918
220	259	915
221	260	912
222	260	909
223	261	906
224	262	903
225	263	900
226	263	898
227	264	895
228	265	892
229	265	889
230	266	887
231	267	884
232	267	881
233	268	878
234	269	876
235	269	873
236	270	871
237	271	868
238	272	866
239	272	863
240	273	861
241	274	858
242	274	855
243	275	854
244	276	851
245	276	848
246	277	846
247	278	844
248	279	842
249	279	839
250	280	837
251	281	834
252	282	833
253	283	831
254	283	829
255	284	827
256	285	825
257	286	824
258	287	822
259	288	820
260	288	818
261	289	816
262	290	813
263	291	811
264	291	809
265	292	807
266	293	805
267	294	804
268	295	802
269	295	799
270	296	797
271	297	795
272	297	792
273	298	790
274	298	788
275	299	786
276	300	785
277	301	783
278	302	781
279	302	778
280	303	776
281	304	774
282	304	772
283	305	770
284	306	768
285	307	766
286	307	764
287	308	762
288	309	760
289	309	758
290	310	756
291	311	754
292	311	752
293	312	751
294	313	749
295	314	747
296	315	746
297	315	744
298	316	742
299	317	740
300	317	738
301	318	736
302	319	734
303	320	732
304	320	730
305	321	729
306	322	727
307	322	725
308	323	723
309	324	721
310	324	719
311	325	718
312	326	716
313	326	714
314	327	712
315	328	710
316	329	709
317	329	707
318	330	705
319	331	703
320	331	702
321	332	700
322	333	698
323	333	696
324	334	694
325	335	692
326	335	691
327	336	689
328	337	688
329	338	687
330	339	686
331	340	685
332	341	683
333	342	681
334	342	680
335	343	679
336	344	678
337	345	677
338	346	675
339	347	673
340	347	672
341	348	670
342	349	668
343	350	667
344	350	666
345	351	664
346	352	663
347	353	661
348	353	659
349	354	657
350	354	656
351	355	654
352	356	653
353	357	651
354	358	650
355	358	648
356	359	647
357	359	645
358	360	643
359	361	642
360	361	640
361	362	639
362	363	637
363	364	636
364	365	635
365	365	633
366	366	632
367	367	630
368	367	629
369	368	627
370	369	626
371	370	625
372	371	623
373	371	622
374	372	621
375	373	619
376	374	618
377	374	616
378	375	615
379	376	613
380	376	612
381	377	610
382	378	609
383	378	607
384	379	606
385	380	605
386	381	603
