iter	RMSE
0	14.95761056
1	14.5245965
2	14.09249398
3	13.69862867
4	13.31789795
5	12.93617745
6	12.56717193
7	12.22806759
8	11.87713905
9	11.57175199
10	11.2617447
11	10.95413759
12	10.70920595
13	10.4339819
14	10.18312747
15	9.922930892
16	9.707107441
17	9.498075814
18	9.292607214
19	9.061424967
20	8.834858249
21	8.625388715
22	8.416020367
23	8.210251314
24	8.028057131
25	7.844694924
26	7.68689821
27	7.516487873
28	7.381241113
29	7.230268265
30	7.080974325
31	6.946489616
32	6.813505658
33	6.683654417
34	6.551106976
35	6.442786717
36	6.323407283
37	6.221589567
38	6.114266573
39	6.0206044
40	5.936048467
41	5.85256682
42	5.76480629
43	5.679417776
44	5.60388162
45	5.522062679
46	5.443511434
47	5.369916789
48	5.300708094
49	5.240770827
50	5.183571491
51	5.126415283
52	5.068982158
53	5.014446056
54	4.965701564
55	4.908806731
56	4.862057894
57	4.81870809
58	4.773096292
59	4.742363853
60	4.699337228
61	4.656076405
62	4.621100505
63	4.582130905
64	4.542707472
65	4.508934407
66	4.477422094
67	4.445067627
68	4.410758222
69	4.376129404
70	4.343891113
71	4.314740078
72	4.286684753
73	4.258155637
74	4.233908273
75	4.215827659
76	4.193233676
77	4.173856388
78	4.149467602
79	4.125984924
80	4.10645304
81	4.085570522
82	4.066178232
83	4.049058679
84	4.032451756
85	4.015656883
86	3.997279578
87	3.9816989
88	3.963415996
89	3.947456637
90	3.931274316
91	3.91699909
92	3.901907093
93	3.885564292
94	3.877156191
95	3.859489288
96	3.848930954
97	3.834276731
98	3.821357269
99	3.805707855
100	3.788613608
101	3.777211397
102	3.764427356
103	3.753146516
104	3.741380879
105	3.731794459
106	3.721278888
107	3.71201929
108	3.697690694
109	3.688585734
110	3.678457448
111	3.667486363
112	3.659798071
113	3.645445604
114	3.632236888
115	3.621805491
116	3.613929528
117	3.59967207
118	3.591626801
119	3.584658301
120	3.575625186
121	3.570985705
122	3.556325407
123	3.542728368
124	3.529883336
125	3.526287168
126	3.517032019
127	3.510141237
128	3.502254781
129	3.494650061
130	3.484775329
131	3.478176647
132	3.472581797
